Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
BTTUSDT,BTT/USDT,BTT,USDT,False,Spot,,,1.0
BTTCUSDT,BTTC/USDT,BTTC,USDT,True,Spot,,,1.0
BULLUSDT,BULL/USDT,BULL,USDT,False,Spot,,,1.0
BURGERUSDT,BURGER/USDT,BURGER,USDT,True,Spot,,,1.0
BUSDUSDT,BUSD/USDT,BUSD,USDT,True,Spot,Margin,,1.0
BZRXUSDT,BZRX/USDT,BZRX,USDT,False,Spot,Margin,,1.0
C98USDT,C98/USDT,C98,USDT,True,Spot,Margin,,1.0
CAKEUSDT,CAKE/USDT,CAKE,USDT,True,Spot,Margin,,1.0
CELOUSDT,CELO/USDT,CELO,USDT,True,Spot,Margin,,1.0
CELRUSDT,CELR/USDT,CELR,USDT,True,Spot,Margin,,1.0
CFXUSDT,CFX/USDT,CFX,USDT,True,Spot,,,1.0
CHESSUSDT,CHESS/USDT,CHESS,USDT,True,Spot,Margin,,1.0
CHRUSDT,CHR/USDT,CHR,USDT,True,Spot,Margin,,1.0
CHZUSDT,CHZ/USDT,CHZ,USDT,True,Spot,Margin,,1.0
CITYUSDT,CITY/USDT,CITY,USDT,True,Spot,,,1.0
CKBUSDT,CKB/USDT,CKB,USDT,True,Spot,Margin,,1.0
CLVUSDT,CLV/USDT,CLV,USDT,True,Spot,Margin,,1.0
COCOSUSDT,COCOS/USDT,COCOS,USDT,True,Spot,,,1.0
COMPUSDT,COMP/USDT,COMP,USDT,True,Spot,Margin,,1.0
COSUSDT,COS/USDT,COS,USDT,True,Spot,Margin,,1.0
COTIUSDT,COTI/USDT,COTI,USDT,True,Spot,Margin,,1.0
CRVUSDT,CRV/USDT,CRV,USDT,True,Spot,Margin,,1.0
CTKUSDT,CTK/USDT,CTK,USDT,True,Spot,Margin,,1.0
CTSIUSDT,CTSI/USDT,CTSI,USDT,True,Spot,Margin,,1.0
CTXCUSDT,CTXC/USDT,CTXC,USDT,True,Spot,Margin,,1.0
CVCUSDT,CVC/USDT,CVC,USDT,True,Spot,Margin,,1.0
CVPUSDT,CVP/USDT,CVP,USDT,True,Spot,,,1.0
CVXUSDT,CVX/USDT,CVX,USDT,True,Spot,,,1.0
DAIUSDT,DAI/USDT,DAI,USDT,False,Spot,,,1.0
DARUSDT,DAR/USDT,DAR,USDT,True,Spot,Margin,,1.0
DASHUSDT,DASH/USDT,DASH,USDT,True,Spot,Margin,,1.0
DATAUSDT,DATA/USDT,DATA,USDT,True,Spot,,,1.0
DCRUSDT,DCR/USDT,DCR,USDT,True,Spot,,,1.0
DEGOUSDT,DEGO/USDT,DEGO,USDT,True,Spot,,,1.0
