Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
APT_USDT,APT/USDT,APT,USDT,True,Spot,,,1.0
APX_USDT,APX/USDT,APX,USDT,True,Spot,,,1.0
APYS_USDT,APYS/USDT,APYS,USDT,True,Spot,,,1.0
AQDC_USDT,AQDC/USDT,AQDC,USDT,True,Spot,,,1.0
AQT_USDT,AQT/USDT,AQT,USDT,True,Spot,,,1.0
AR_USDT,AR/USDT,AR,USDT,True,Spot,Margin,,1.0
AR3L_USDT,AR3L/USDT,AR3L,USDT,True,Spot,,,1.0
AR3S_USDT,AR3S/USDT,AR3S,USDT,True,Spot,,,1.0
ARCX_USDT,ARCX/USDT,ARCX,USDT,True,Spot,,,1.0
ARES_USDT,ARES/USDT,ARES,USDT,True,Spot,Margin,,1.0
ARGON_USDT,ARGON/USDT,ARGON,USDT,True,Spot,,,1.0
ARMOR_USDT,ARMOR/USDT,ARMOR,USDT,True,Spot,,,1.0
ARNX_USDT,ARNX/USDT,ARNX,USDT,True,Spot,,,1.0
ARPA_USDT,ARPA/USDT,ARPA,USDT,True,Spot,Margin,,1.0
ARPA3L_USDT,ARPA3L/USDT,ARPA3L,USDT,True,Spot,,,1.0
ARPA3S_USDT,ARPA3S/USDT,ARPA3S,USDT,True,Spot,,,1.0
ARRR_USDT,ARRR/USDT,ARRR,USDT,True,Spot,,,1.0
ARTEM_USDT,ARTEM/USDT,ARTEM,USDT,True,Spot,,,1.0
ARV_USDT,ARV/USDT,ARV,USDT,True,Spot,,,1.0
ASD_USDT,ASD/USDT,ASD,USDT,True,Spot,Margin,,1.0
ASK_USDT,ASK/USDT,ASK,USDT,True,Spot,,,1.0
ASM_USDT,ASM/USDT,ASM,USDT,True,Spot,Margin,,1.0
ASR_USDT,ASR/USDT,ASR,USDT,True,Spot,Margin,,1.0
AST_USDT,AST/USDT,AST,USDT,True,Spot,,,1.0
ASTR_USDT,ASTR/USDT,ASTR,USDT,True,Spot,Margin,,1.0
ASTR3L_USDT,ASTR3L/USDT,ASTR3L,USDT,True,Spot,,,1.0
ASTR3S_USDT,ASTR3S/USDT,ASTR3S,USDT,True,Spot,,,1.0
ASTRO_USDT,ASTRO/USDT,ASTRO,USDT,True,Spot,,,1.0
ASW_USDT,ASW/USDT,ASW,USDT,True,Spot,,,1.0
ATA_USDT,ATA/USDT,ATA,USDT,True,Spot,Margin,,1.0
ATD_USDT,ATD/USDT,ATD,USDT,True,Spot,,,1.0
ATK_USDT,ATK/USDT,ATK,USDT,True,Spot,,,1.0
ATLAS_USDT,ATLAS/USDT,ATLAS,USDT,True,Spot,Margin,,1.0
ATM_USDT,ATM/USDT,ATM,USDT,True,Spot,,,1.0
ATOLO_USDT,ATOLO/USDT,ATOLO,USDT,True,Spot,,,1.0
ATOM_USDT,ATOM/USDT,ATOM,USDT,True,Spot,Margin,,1.0
ATOM3L_USDT,ATOM3L/USDT,ATOM3L,USDT,True,Spot,,,1.0
ATOM3S_USDT,ATOM3S/USDT,ATOM3S,USDT,True,Spot,,,1.0
ATP_USDT,ATP/USDT,ATP,USDT,True,Spot,Margin,,1.0
ATS_USDT,ATS/USDT,ATS,USDT,True,Spot,,,1.0
AUCTION_USDT,AUCTION/USDT,AUCTION,USDT,True,Spot,Margin,,1.0
AUDIO_USDT,AUDIO/USDT,AUDIO,USDT,True,Spot,Margin,,1.0
AURORA_USDT,AURORA/USDT,AURORA,USDT,True,Spot,,,1.0
AUTO_USDT,AUTO/USDT,AUTO,USDT,True,Spot,Margin,,1.0
AVA_USDT,AVA/USDT,AVA,USDT,True,Spot,Margin,,1.0
AVAX_USDT,AVAX/USDT,AVAX,USDT,True,Spot,Margin,,1.0
AVAX3L_USDT,AVAX3L/USDT,AVAX3L,USDT,True,Spot,,,1.0
AVAX3S_USDT,AVAX3S/USDT,AVAX3S,USDT,True,Spot,,,1.0
AVT_USDT,AVT/USDT,AVT,USDT,True,Spot,,,1.0
AXL_USDT,AXL/USDT,AXL,USDT,True,Spot,,,1.0
AXS_USDT,AXS/USDT,AXS,USDT,True,Spot,Margin,,1.0
AXS3L_USDT,AXS3L/USDT,AXS3L,USDT,True,Spot,,,1.0
AXS3S_USDT,AXS3S/USDT,AXS3S,USDT,True,Spot,,,1.0
AXS5L_USDT,AXS5L/USDT,AXS5L,USDT,True,Spot,,,1.0
AXS5S_USDT,AXS5S/USDT,AXS5S,USDT,True,Spot,,,1.0
AZERO_USDT,AZERO/USDT,AZERO,USDT,True,Spot,,,1.0
AXIS_USDT,Axis DeFi/USDT,Axis DeFi,USDT,True,Spot,,,1.0
BABI_USDT,BABI/USDT,BABI,USDT,True,Spot,,,1.0
BABY_USDT,BABY/USDT,BABY,USDT,True,Spot,,,1.0
BAC_USDT,BAC/USDT,BAC,USDT,True,Spot,Margin,,1.0
BACON_USDT,BACON/USDT,BACON,USDT,True,Spot,,,1.0
BADGER_USDT,BADGER/USDT,BADGER,USDT,True,Spot,Margin,,1.0
BAGS_USDT,BAGS/USDT,BAGS,USDT,True,Spot,,,1.0
BAKE_USDT,BAKE/USDT,BAKE,USDT,True,Spot,Margin,,1.0
BAKED_USDT,BAKED/USDT,BAKED,USDT,True,Spot,,,1.0
BAL_USDT,BAL/USDT,BAL,USDT,True,Spot,,,1.0
BAL3L_USDT,BAL3L/USDT,BAL3L,USDT,True,Spot,,,1.0
BAL3S_USDT,BAL3S/USDT,BAL3S,USDT,True,Spot,,,1.0
BAMBOO_USDT,BAMBOO/USDT,BAMBOO,USDT,True,Spot,,,1.0
BAND_USDT,BAND/USDT,BAND,USDT,True,Spot,Margin,,1.0
BANK_USDT,BANK/USDT,BANK,USDT,True,Spot,,,1.0
BAO_USDT,BAO/USDT,BAO,USDT,True,Spot,Margin,,1.0
BAS_USDT,BAS/USDT,BAS,USDT,True,Spot,Margin,,1.0
BASE_USDT,BASE/USDT,BASE,USDT,True,Spot,,,1.0
BAT_USDT,BAT/USDT,BAT,USDT,True,Spot,Margin,,1.0
BAT3L_USDT,BAT3L/USDT,BAT3L,USDT,True,Spot,,,1.0
BAT3S_USDT,BAT3S/USDT,BAT3S,USDT,True,Spot,,,1.0
BATH_USDT,BATH/USDT,BATH,USDT,True,Spot,,,1.0
BBANK_USDT,BBANK/USDT,BBANK,USDT,True,Spot,,,1.0
BBF_USDT,BBF/USDT,BBF,USDT,True,Spot,,,1.0
BCD_USDT,BCD/USDT,BCD,USDT,True,Spot,Margin,,1.0
BCDN_USDT,BCDN/USDT,BCDN,USDT,True,Spot,,,1.0
BCH_USDT,BCH/USDT,BCH,USDT,True,Spot,Margin,,1.0
BCH3L_USDT,BCH3L/USDT,BCH3L,USDT,True,Spot,,,1.0
BCH3S_USDT,BCH3S/USDT,BCH3S,USDT,True,Spot,,,1.0
BCH5L_USDT,BCH5L/USDT,BCH5L,USDT,True,Spot,,,1.0
BCH5S_USDT,BCH5S/USDT,BCH5S,USDT,True,Spot,,,1.0
BCHA_USDT,BCHA/USDT,BCHA,USDT,False,Spot,Margin,,1.0
BCMC_USDT,BCMC/USDT,BCMC,USDT,True,Spot,,,1.0
BCN_USDT,BCN/USDT,BCN,USDT,True,Spot,,,1.0
BCUG_USDT,BCUG/USDT,BCUG,USDT,True,Spot,,,1.0
BCX_USDT,BCX/USDT,BCX,USDT,True,Spot,,,1.0
BDP_USDT,BDP/USDT,BDP,USDT,True,Spot,,,1.0
BDT_USDT,BDT/USDT,BDT,USDT,True,Spot,,,1.0
BEAM_USDT,BEAM/USDT,BEAM,USDT,True,Spot,Margin,,1.0
BEAM3L_USDT,BEAM3L/USDT,BEAM3L,USDT,True,Spot,,,1.0
BEAM3S_USDT,BEAM3S/USDT,BEAM3S,USDT,True,Spot,,,1.0
BTCBEAR_USDT,BEAR/USDT,BEAR,USDT,True,Spot,,,1.0
BEEFI_USDT,BEEFI/USDT,BEEFI,USDT,True,Spot,,,1.0
BEL_USDT,BEL/USDT,BEL,USDT,True,Spot,,,1.0
BENQI_USDT,BENQI/USDT,BENQI,USDT,True,Spot,Margin,,1.0
BEPRO_USDT,BEPRO/USDT,BEPRO,USDT,True,Spot,,,1.0
BERRY_USDT,BERRY/USDT,BERRY,USDT,True,Spot,,,1.0
BETU_USDT,BETU/USDT,BETU,USDT,True,Spot,,,1.0
BEYOND_USDT,BEYOND/USDT,BEYOND,USDT,True,Spot,,,1.0
BFC_USDT,BFC/USDT,BFC,USDT,True,Spot,,,1.0
BFT_USDT,BFT/USDT,BFT,USDT,True,Spot,,,1.0
BICO_USDT,BICO/USDT,BICO,USDT,True,Spot,Margin,,1.0
BIFIF_USDT,BIFIF/USDT,BIFIF,USDT,True,Spot,,,1.0
BIN_USDT,BIN/USDT,BIN,USDT,True,Spot,,,1.0
BIRD_USDT,BIRD/USDT,BIRD,USDT,True,Spot,,,1.0
BIT_USDT,BIT/USDT,BIT,USDT,True,Spot,Margin,,1.0
BKC_USDT,BKC/USDT,BKC,USDT,True,Spot,,,1.0
BLACK_USDT,BLACK/USDT,BLACK,USDT,True,Spot,,,1.0
BLANK_USDT,BLANK/USDT,BLANK,USDT,False,Spot,Margin,,1.0
BLANKV2_USDT,BLANKV2/USDT,BLANKV2,USDT,True,Spot,,,1.0
BLES_USDT,BLES/USDT,BLES,USDT,True,Spot,Margin,,1.0
BLIN_USDT,BLIN/USDT,BLIN,USDT,True,Spot,,,1.0
BLOCK_USDT,BLOCK/USDT,BLOCK,USDT,True,Spot,,,1.0
BLOK_USDT,BLOK/USDT,BLOK,USDT,True,Spot,Margin,,1.0
BLT_USDT,BLT/USDT,BLT,USDT,True,Spot,,,1.0
BLY_USDT,BLY/USDT,BLY,USDT,True,Spot,,,1.0
BLZ_USDT,BLZ/USDT,BLZ,USDT,True,Spot,Margin,,1.0
BMI_USDT,BMI/USDT,BMI,USDT,True,Spot,,,1.0
BMON_USDT,BMON/USDT,BMON,USDT,True,Spot,,,1.0
BNB_USDT,BNB/USDT,BNB,USDT,True,Spot,Margin,,1.0
BNB3L_USDT,BNB3L/USDT,BNB3L,USDT,True,Spot,,,1.0
BNB3S_USDT,BNB3S/USDT,BNB3S,USDT,True,Spot,,,1.0
BNC_USDT,BNC/USDT,BNC,USDT,True,Spot,Margin,,1.0
BNTY_USDT,BNTY/USDT,BNTY,USDT,True,Spot,,,1.0
BNX_USDT,BNX/USDT,BNX,USDT,True,Spot,Margin,,1.0
BOA_USDT,BOA/USDT,BOA,USDT,True,Spot,,,1.0
BOBA_USDT,BOBA/USDT,BOBA,USDT,True,Spot,,,1.0
BOND_USDT,BOND/USDT,BOND,USDT,True,Spot,Margin,,1.0
BONDED_USDT,BONDED/USDT,BONDED,USDT,False,Spot,,,1.0
BONDLY_USDT,BONDLY/USDT,BONDLY,USDT,True,Spot,,,1.0
BOO_USDT,BOO/USDT,BOO,USDT,True,Spot,,,1.0
BORA_USDT,BORA/USDT,BORA,USDT,True,Spot,,,1.0
BORING_USDT,BORING/USDT,BORING,USDT,True,Spot,,,1.0
BOSON_USDT,BOSON/USDT,BOSON,USDT,True,Spot,Margin,,1.0
BP_USDT,BP/USDT,BP,USDT,True,Spot,,,1.0
BRKL_USDT,BRKL/USDT,BRKL,USDT,True,Spot,,,1.0
BRT_USDT,BRT/USDT,BRT,USDT,True,Spot,,,1.0
BRWL_USDT,BRWL/USDT,BRWL,USDT,True,Spot,,,1.0
BRY_USDT,BRY/USDT,BRY,USDT,True,Spot,,,1.0
BSCPAD_USDT,BSCPAD/USDT,BSCPAD,USDT,True,Spot,,,1.0
BSCS_USDT,BSCS/USDT,BSCS,USDT,True,Spot,,,1.0
BSV_USDT,BSV/USDT,BSV,USDT,True,Spot,Margin,,1.0
BSV3L_USDT,BSV3L/USDT,BSV3L,USDT,True,Spot,,,1.0
BSV3S_USDT,BSV3S/USDT,BSV3S,USDT,True,Spot,,,1.0
BSV5L_USDT,BSV5L/USDT,BSV5L,USDT,True,Spot,,,1.0
BSV5S_USDT,BSV5S/USDT,BSV5S,USDT,True,Spot,,,1.0
BSW_USDT,BSW/USDT,BSW,USDT,True,Spot,Margin,,1.0
BSW3L_USDT,BSW3L/USDT,BSW3L,USDT,True,Spot,,,1.0
