Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
DGB-USDT,DGB/USDT,DGB,USDT,True,Spot,,,1.0
DHT-USDT,DHT/USDT,DHT,USDT,True,Spot,,,1.0
DIA-USDT,DIA/USDT,DIA,USDT,True,Spot,,,1.0
DMD-USDT,DMD/USDT,DMD,USDT,True,Spot,,,1.0
DMG-USDT,DMG/USDT,DMG,USDT,True,Spot,,,1.0
DNA-USDT,DNA/USDT,DNA,USDT,True,Spot,,,1.0
DOGE-USDT,DOGE/USDT,DOGE,USDT,True,Spot,Margin,,1.0
DOME-USDT,DOME/USDT,DOME,USDT,True,Spot,Margin,,1.0
DORA-USDT,DORA/USDT,DORA,USDT,True,Spot,Margin,,1.0
DOSE-USDT,DOSE/USDT,DOSE,USDT,True,Spot,,,1.0
DOT-USDT,DOT/USDT,DOT,USDT,True,Spot,Margin,,1.0
DYDX-USDT,DYDX/USDT,DYDX,USDT,True,Spot,Margin,,1.0
BOX-USDT,DefiBox/USDT,DefiBox,USDT,True,Spot,,,1.0
EC-USDT,EC/USDT,EC,USDT,True,Spot,,,1.0
EDEN-USDT,EDEN/USDT,EDEN,USDT,True,Spot,,,1.0
EFI-USDT,EFI/USDT,EFI,USDT,True,Spot,Margin,,1.0
EGLD-USDT,EGLD/USDT,EGLD,USDT,True,Spot,Margin,,1.0
EGT-USDT,EGT/USDT,EGT,USDT,True,Spot,,,1.0
ELF-USDT,ELF/USDT,ELF,USDT,True,Spot,Margin,,1.0
ELON-USDT,ELON/USDT,ELON,USDT,True,Spot,,,1.0
ELT-USDT,ELT/USDT,ELT,USDT,True,Spot,,,1.0
EM-USDT,EM/USDT,EM,USDT,True,Spot,,,1.0
ENJ-USDT,ENJ/USDT,ENJ,USDT,True,Spot,Margin,,1.0
ENS-USDT,ENS/USDT,ENS,USDT,True,Spot,Margin,,1.0
EOS-USDT,EOS/USDT,EOS,USDT,True,Spot,Margin,,1.0
ERN-USDT,ERN/USDT,ERN,USDT,True,Spot,,,1.0
ETC-USDT,ETC/USDT,ETC,USDT,True,Spot,Margin,,1.0
ETH-USDT,ETH/USDT,ETH,USDT,True,Spot,Margin,,1.0
ETM-USDT,ETM/USDT,ETM,USDT,True,Spot,,,1.0
EXE-USDT,EXE/USDT,EXE,USDT,True,Spot,,,1.0
